bit,center_sample,reference,received,power_1200,power_2200,soft_value,confidence,timing_correction,decision_ratio
0,23375.997724,1,1,2.393151019e-6,1.949354106e-2,0.99918179,0.99918179,0.000000,3.33375007
1,23851.903894,0,0,1.124543345e-2,3.707043309e-4,-0.98041719,0.98041719,-4.082475,3.33375007
2,24330.224547,1,1,9.731814473e-5,4.818321809e-2,0.98662337,0.98662337,-1.658424,3.33375007
3,24810.420819,0,0,1.348020213e-2,7.526844511e-4,-0.96705422,0.96705422,0.219594,3.33375007
4,25290.298361,1,1,9.263024704e-5,5.265718961e-2,0.98833946,0.98833946,-0.099338,3.33375007
5,25769.762358,0,0,1.722245449e-2,7.792628054e-4,-0.97321873,0.97321873,-0.511862,3.33375007
6,26251.561102,1,1,2.115400299e-4,6.088774114e-2,0.97710058,0.97710058,1.820702,3.33375007
7,26730.242042,0,0,2.077667987e-2,1.364929256e-3,-0.96134943,0.96134943,-1.297973,3.33375007
8,27212.068734,1,1,2.222345297e-4,5.906699865e-2,0.97522485,0.97522485,1.846864,3.33375007
9,27690.770415,0,0,1.844707635e-2,1.139087649e-3,-0.96362894,0.96362894,-1.279093,3.33375007
10,28172.531589,1,1,2.669410360e-4,5.750462130e-2,0.96952062,0.96952062,1.779566,3.33375007
11,28649.956713,0,0,1.936821463e-2,5.371042088e-4,-0.98350060,0.98350060,-2.555192,3.33375007
12,29131.926186,1,1,5.794333755e-4,6.399578758e-2,0.94139966,0.94139966,1.990099,3.33375007
13,29610.159702,0,0,1.840083138e-2,1.011470838e-3,-0.96755779,0.96755779,-1.746264,3.33375007
14,30092.196196,1,1,4.645646578e-4,6.076507513e-2,0.95029217,0.95029217,2.056198,3.33375007
15,30571.011752,0,0,1.896404086e-2,9.654997863e-4,-0.96991597,0.96991597,-1.166225,3.33375007
16,31052.286499,1,1,2.327234549e-4,6.362206417e-2,0.97590475,0.97590475,1.292756,3.33375007
17,31530.961700,0,0,1.677322284e-2,1.215579109e-3,-0.95744762,0.95744762,-1.306766,3.33375007
18,32013.104884,1,1,6.377197085e-4,6.088891128e-2,0.93252396,0.93252396,2.159796,3.33375007
19,32490.859172,0,0,1.848508725e-2,1.066017975e-3,-0.96599118,0.96599118,-2.228987,3.33375007
20,32972.444650,1,1,3.577678251e-4,6.421808840e-2,0.96353175,0.96353175,1.603248,3.33375007
21,33451.643148,0,0,1.771274781e-2,7.169557105e-4,-0.97600824,0.97600824,-0.785097,3.33375007
22,33932.536716,1,1,3.855721108e-4,6.633168961e-2,0.96198000,0.96198000,0.909766,3.33375007
23,34410.307729,0,0,2.077962205e-2,7.698057283e-4,-0.97801933,0.97801933,-2.210622,3.33375007
24,34892.173280,1,1,1.698920435e-4,6.522022061e-2,0.98278137,0.98278137,1.884460,3.33375007
25,35372.257410,0,0,1.781436953e-2,1.112268934e-3,-0.96323134,0.96323134,0.099733,3.33375007
26,35854.107590,1,1,3.869982201e-4,6.065983533e-2,0.95834849,0.95834849,1.862511,3.33375007
27,36332.113200,0,0,1.765458541e-2,1.082301031e-3,-0.96388615,0.96388615,-1.981859,3.33375007
28,36814.186886,1,1,6.099625218e-4,5.754485783e-2,0.93173817,0.93173817,2.086044,3.33375007
29,37290.659523,0,0,1.881550643e-2,4.936581947e-4,-0.98438281,0.98438281,-3.512628,3.33375007
30,37772.675893,1,1,4.184889293e-4,6.365505913e-2,0.95710582,0.95710582,2.033570,3.33375007
31,38250.451292,0,0,1.990452569e-2,9.938627218e-4,-0.97048688,0.97048688,-2.207111,3.33375007
32,38733.081230,1,1,3.566574141e-4,5.845404732e-2,0.96012925,0.96012925,2.646694,3.33375007
33,39211.115357,0,0,1.799805238e-2,1.069246809e-3,-0.96498306,0.96498306,-1.950277,3.33375007
34,39693.643143,1,1,4.809934321e-4,5.789304542e-2,0.94609732,0.94609732,2.542395,3.33375007
35,40170.870443,0,0,1.811784542e-2,9.591294505e-4,-0.96873738,0.96873738,-2.757732,3.33375007
36,40653.135830,1,1,5.949043801e-4,5.933141213e-2,0.93530872,0.93530872,2.281149,3.33375007
37,41130.133921,0,0,1.824087805e-2,9.284122723e-4,-0.96992458,0.96992458,-2.984973,3.33375007
38,41612.097701,1,1,4.058821932e-4,6.159139729e-2,0.95700626,0.95700626,1.982386,3.33375007
39,42089.736964,0,0,1.992160764e-2,1.067693391e-3,-0.96835590,0.96835590,-2.341532,3.33375007
40,42571.583313,1,1,4.624934919e-4,6.367302874e-2,0.95271515,0.95271515,1.866346,3.33375007
41,43049.561675,0,0,1.860445574e-2,6.433324618e-4,-0.97946787,0.97946787,-2.001416,3.33375007
42,43530.745787,1,1,2.540891185e-4,5.905475934e-2,0.97171807,0.97171807,1.205661,3.33375007
43,44010.738249,0,0,1.750340727e-2,9.538911835e-4,-0.96783148,0.96783148,0.011981,3.33375007
44,44492.239765,1,1,3.691369207e-4,6.174394791e-2,0.96091723,0.96091723,1.518484,3.33375007
45,44970.968699,0,0,1.724218799e-2,1.387024808e-3,-0.95287692,0.95287692,-1.254538,3.33375007
46,45452.467755,1,1,4.782266558e-4,6.356612699e-2,0.95106575,0.95106575,1.515150,3.33375007
47,45930.586941,0,0,1.880273693e-2,8.243389176e-4,-0.97403983,0.97403983,-1.864139,3.33375007
48,46411.873883,1,1,4.917312313e-4,6.596652833e-2,0.95150392,0.95150392,1.304550,3.33375007
49,46890.716404,0,0,1.742924230e-2,7.349674343e-4,-0.97501798,0.97501798,-1.140145,3.33375007
50,47371.815433,1,1,4.589564750e-4,6.247717757e-2,0.95219145,0.95219145,1.116403,3.33375007
51,47849.557303,0,0,1.748888283e-2,1.194794831e-3,-0.95983772,0.95983772,-2.238886,3.33375007
52,48331.813639,1,1,3.262209768e-4,6.121011086e-2,0.96508571,0.96508571,2.275520,3.33375007
53,48810.836723,0,0,1.846285711e-2,1.248069252e-3,-0.96025170,0.96025170,-0.959925,3.33375007
54,49292.878731,1,1,3.617376902e-4,6.444699899e-2,0.96326309,0.96326309,2.057170,3.33375007
55,49770.897918,0,0,2.057289729e-2,9.290709343e-4,-0.97326952,0.97326952,-1.965804,3.33375007
56,50252.881357,1,1,4.013509581e-4,6.304828851e-2,0.95843824,0.95843824,1.998394,3.33375007
57,50729.962677,0,0,1.899572592e-2,8.682928711e-4,-0.97294840,0.97294840,-2.902218,3.33375007
58,51211.918232,1,1,4.458316876e-4,6.379534301e-2,0.95446525,0.95446525,1.973564,3.33375007
59,51689.970807,0,0,1.928764133e-2,1.206391274e-3,-0.96316732,0.96316732,-1.929489,3.33375007
60,52172.201690,1,1,3.650643303e-4,6.048021759e-2,0.96054822,0.96054822,2.248287,3.33375007
61,52650.191350,0,0,1.922587163e-2,7.315239475e-4,-0.97743108,0.97743108,-1.993360,3.33375007
62,53132.795907,1,1,6.244159399e-4,6.433881218e-2,0.93731911,0.93731911,2.620492,3.33375007
63,53609.736753,0,0,2.022645835e-2,1.249127129e-3,-0.96362423,0.96362423,-3.042516,3.33375007
64,54091.983970,1,1,4.992427538e-4,6.231177729e-2,0.94796964,0.94796964,2.265151,3.33375007
65,54571.969811,1,1,3.674046732e-5,6.122655458e-2,0.99600699,0.99600699,0.000000,3.33375007
66,55048.660236,0,0,2.728309728e-2,1.166891863e-3,-0.97466636,0.97466636,-3.289934,3.33375007
67,55530.523207,1,1,2.466209493e-4,6.051572611e-2,0.97319202,0.97319202,1.884954,3.33375007
68,56009.689753,0,0,2.524908683e-2,1.212399746e-3,-0.97160209,0.97160209,-0.813257,3.33375007
69,56489.668200,0,0,1.980926392e-2,6.925736884e-4,-0.97924304,0.97924304,0.000000,3.33375007
70,56970.882856,1,1,3.991599938e-4,5.759492963e-2,0.95483461,0.95483461,1.234151,3.33375007
